First Author,PubMed ID,Study accession,Publication date,Journal,Title,Trait(s),Reported trait
R¨¹hlemann MC,33462482,GCST90011701,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_27 (Ruminococcaceae) prevalence
R¨¹hlemann MC,33462482,GCST90011702,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_28 (Holdemanella) prevalence
R¨¹hlemann MC,33462482,GCST90011703,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_29 (Barnesiella) prevalence
R¨¹hlemann MC,33462482,GCST90011704,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_3 (Bacteroides) prevalence
R¨¹hlemann MC,33462482,GCST90011705,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_30 (Paraprevotella) prevalence
R¨¹hlemann MC,33462482,GCST90011706,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_31 (Ruminococcus) prevalence
R¨¹hlemann MC,33462482,GCST90011707,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_32 (Ruminococcaceae) prevalence
R¨¹hlemann MC,33462482,GCST90011708,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_33 (Paraprevotella) prevalence
R¨¹hlemann MC,33462482,GCST90011709,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_34 (Phascolarctobacterium) prevalence
R¨¹hlemann MC,33462482,GCST90011710,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_35 (Alphaproteobacteria) prevalence
R¨¹hlemann MC,33462482,GCST90011711,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_36 (Aestuariispira) prevalence
R¨¹hlemann MC,33462482,GCST90011712,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_37 (Ruminococcaceae) prevalence
R¨¹hlemann MC,33462482,GCST90011713,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_38 (Ruminococcus) prevalence
R¨¹hlemann MC,33462482,GCST90011714,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_39 (Bacteroides) prevalence
R¨¹hlemann MC,33462482,GCST90011715,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_4 (Alistipes) prevalence
R¨¹hlemann MC,33462482,GCST90011716,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_40 (Barnesiella) prevalence
R¨¹hlemann MC,33462482,GCST90011717,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_41 (Barnesiella) prevalence
R¨¹hlemann MC,33462482,GCST90011718,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_42 (Alphaproteobacteria) prevalence
R¨¹hlemann MC,33462482,GCST90011719,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_43 (Parasutterella) prevalence
R¨¹hlemann MC,33462482,GCST90011720,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_44 (Parasutterella) prevalence
R¨¹hlemann MC,33462482,GCST90011721,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_45 (Clostridiales) prevalence
R¨¹hlemann MC,33462482,GCST90011722,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_46 (Sutterella) prevalence
R¨¹hlemann MC,33462482,GCST90011723,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_47 (Parasutterella) prevalence
R¨¹hlemann MC,33462482,GCST90011724,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_48 (Sutterella) prevalence
R¨¹hlemann MC,33462482,GCST90011725,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,TestASV_49 (Parasutterella) prevalence
R¨¹hlemann MC,33462482,GCST90011350,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,O_Clostridiales abundance
R¨¹hlemann MC,33462482,GCST90011376,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_163 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011353,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,O_Selenomonadales abundance
R¨¹hlemann MC,33462482,GCST90011354,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_1 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011355,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_100 (Ruminococcaceae) abundance
R¨¹hlemann MC,33462482,GCST90011379,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_173 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011380,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_19 (Bacteria) abundance
R¨¹hlemann MC,33462482,GCST90011381,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_2 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011361,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_109 (Paraprevotella) abundance
R¨¹hlemann MC,33462482,GCST90011362,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_11 (Parabacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011383,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_23 (Faecalibacterium) abundance
R¨¹hlemann MC,33462482,GCST90011364,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_117 (Ruminococcus) abundance
R¨¹hlemann MC,33462482,GCST90011365,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_119 (Desulfovibrio) abundance
R¨¹hlemann MC,33462482,GCST90011385,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_24 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011368,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_13 (Subdoligranulum) abundance
R¨¹hlemann MC,33462482,GCST90011369,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_130 (Butyrivibrio) abundance
R¨¹hlemann MC,33462482,GCST90011370,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_137 (Catenibacterium) abundance
R¨¹hlemann MC,33462482,GCST90011371,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_138 (Oscillibacter) abundance
R¨¹hlemann MC,33462482,GCST90011372,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_140 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011389,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_277 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011390,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_3 (Bacteroides) abundance
R¨¹hlemann MC,33462482,GCST90011391,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_30 (Roseburia) abundance
R¨¹hlemann MC,33462482,GCST90011392,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_31 (Prevotella) abundance
R¨¹hlemann MC,33462482,GCST90011393,44214,Nat Genet,Genome-wide association study in 8956 German individuals identifies influence of ABO histo-blood groups on gut microbiome.,gut microbiome measurement,OTU97_33 (Holdemanella) abundance
